caso id, Timestamp de inicio, Timestamp de finalizacion ,Actividad,Recurso,Rol
159,2011/01/30 07:21:00.000,2011/01/30 19:48:00.000,Resolver Condiciones Con El Proveedor,Francois de Perrier,Agente De Compras
159,2011/01/31 03:09:00.000,2011/01/31 03:20:00.000,Crear Orden De Compra,Magdalena Predutta,Agente De Compras
159,2011/01/31 17:59:00.000,2011/01/31 18:25:00.000,Confirmar Orden De Compra,Kiu Kan,Proveedor
159,2011/02/02 22:12:00.000,2011/02/03 15:33:00.000,Entrega De Bienes O Servicios,Karen Clarens,Proveedor
159,2011/02/03 23:37:00.000,2011/02/03 23:38:00.000,Liberar Orden De Compra,Anna Kaufmann,Solicitante
159,2011/02/04 09:15:00.000,2011/02/04 09:16:00.000,Approve Purchase Order for payment,Karel de Groot,Agente De Compras
159,2011/02/04 22:13:00.000,2011/02/04 22:13:00.000,Enviar La Factura,Karen Clarens,Proveedor
159,2011/02/05 12:25:00.000,2011/02/05 12:28:00.000,Liberar Factura Del Proveedor,Karalda Nimwada,Gerente Financiero
159,2011/02/05 12:52:00.000,2011/02/05 13:10:00.000,Resolver La Disputa Con El Gerente Financiero Del Proveedor,Karalda Nimwada,Gerente Financiero
159,2011/02/05 13:10:00.000,2011/02/05 13:10:00.000,Autorizar El Pago De La Factura Del Proveedor,Karalda Nimwada,Gerente Financiero
159,2011/02/05 14:13:00.000,2011/02/05 14:23:00.000,Pagar La Factura,Pedro Alvares,Gerente Financiero
330,2011/02/15 13:26:00.000,2011/02/15 14:06:00.000,Crear solicitud de compra,Nico Ojenbeer,Solicitante
330,2011/02/16 09:12:00.000,2011/02/16 09:18:00.000,Analizar solicitud de compra,Francis Odell,Gerente Del Solicitante
330,2011/02/16 09:24:00.000,2011/02/16 09:27:00.000,Crear Solicitud De Cotizacion Para El Gerente Del Solicitante,Heinz Gutschmidt,Gerente Del Solicitante
330,2011/02/16 10:49:00.000,2011/02/16 11:21:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
330,2011/02/16 12:27:00.000,2011/02/16 12:33:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Anne Olwada,Gerente Del Solicitante
330,2011/02/20 11:11:00.000,2011/02/20 11:39:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
330,2011/02/20 12:26:00.000,2011/02/20 12:40:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Clement Duchot,Gerente Del Solicitante
330,2011/02/21 07:26:00.000,2011/02/21 07:59:00.000,Analizar La Solicitud De Cotizacion,Magdalena Predutta,Agente De Compras
158,2011/01/21 12:26:00.000,2011/01/21 13:01:00.000,Crear solicitud de compra,Christian Francois,Solicitante
158,2011/01/21 21:06:00.000,2011/01/21 21:14:00.000,Crear Solicitud De Cotizacion Del Solicitante,Esmana Liubiata,Solicitante
158,2011/01/24 03:22:00.000,2011/01/24 03:37:00.000,Analizar La Solicitud De Cotizacion,Magdalena Predutta,Agente De Compras
158,2011/01/25 14:55:00.000,2011/01/25 15:19:00.000,Enviar Solicitud De Cotizacion Al Proveedor,Karel de Groot,Agente De Compras
158,2011/01/25 15:34:00.000,2011/01/25 19:57:00.000,Crear El Mapa De Comparacion De Cotizaciones,Magdalena Predutta,Agente De Compras
158,2011/01/26 02:04:00.000,2011/01/26 02:22:00.000,Analizar El Mapa De Comparacion De Cotizaciones,Fjodor Kowalski,Solicitante
158,2011/01/26 02:22:00.000,2011/01/26 02:22:00.000,Elige La Mejor Opcion,Penn Osterwalder,Solicitante
158,2011/01/26 05:07:00.000,2011/01/26 17:24:00.000,Resolver Condiciones Con El Proveedor,Magdalena Predutta,Agente De Compras
158,2011/01/27 06:44:00.000,2011/01/27 06:53:00.000,Crear Orden De Compra,Magdalena Predutta,Agente De Compras
158,2011/01/28 07:19:00.000,2011/01/28 07:29:00.000,Confirmar Orden De Compra,Esmeralda Clay,Proveedor
158,2011/01/29 22:09:00.000,2011/01/31 08:44:00.000,Entrega De Bienes O Servicios,Sean Manney,Proveedor
158,2011/01/31 16:37:00.000,2011/01/31 16:38:00.000,Liberar Orden De Compra,Miu Hanwan,Solicitante
158,2011/02/01 00:19:00.000,2011/02/01 00:20:00.000,Approve Purchase Order for payment,Karel de Groot,Agente De Compras
158,2011/02/01 07:07:00.000,2011/02/01 07:07:00.000,Enviar La Factura,Carmen Finacse,Proveedor
158,2011/02/01 21:26:00.000,2011/02/01 21:31:00.000,Liberar Factura Del Proveedor,Karalda Nimwada,Gerente Financiero
158,2011/02/01 21:31:00.000,2011/02/01 21:31:00.000,Autorizar El Pago De La Factura Del Proveedor,Pedro Alvares,Gerente Financiero
158,2011/02/01 21:49:00.000,2011/02/01 21:59:00.000,Pagar La Factura,Pedro Alvares,Gerente Financiero
949,2011/05/17 22:11:00.000,2011/05/17 23:06:00.000,Crear solicitud de compra,Esmana Liubiata,Solicitante
949,2011/05/18 15:19:00.000,2011/05/18 15:26:00.000,Analizar solicitud de compra,Maris Freeman,Gerente Del Solicitante
949,2011/05/18 15:33:00.000,2011/05/18 15:34:00.000,Crear Solicitud De Cotizacion Para El Gerente Del Solicitante,Maris Freeman,Gerente Del Solicitante
949,2011/06/05 02:58:00.000,2011/06/05 03:26:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
949,2011/06/05 04:20:00.000,2011/06/05 04:29:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Tesca Lobes,Gerente Del Solicitante
949,2011/06/21 18:42:00.000,2011/06/21 19:00:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
949,2011/06/21 19:48:00.000,2011/06/21 19:55:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Immanuel Karagianni,Gerente Del Solicitante
949,2011/07/18 10:05:00.000,2011/07/18 10:23:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
949,2011/07/20 10:25:00.000,2011/07/20 10:51:00.000,Enviar Solicitud De Cotizacion Al Proveedor,Francois de Perrier,Agente De Compras
949,2011/07/20 10:54:00.000,2011/07/20 12:28:00.000,Crear El Mapa De Comparacion De Cotizaciones,Francois de Perrier,Agente De Compras
949,2011/07/20 19:26:00.000,2011/07/20 19:49:00.000,Analizar El Mapa De Comparacion De Cotizaciones,Penn Osterwalder,Solicitante
949,2011/07/20 19:49:00.000,2011/07/20 19:49:00.000,Elige La Mejor Opcion,Fjodor Kowalski,Solicitante
949,2011/07/21 06:37:00.000,2011/07/21 17:38:00.000,Resolver Condiciones Con El Proveedor,Francois de Perrier,Agente De Compras
949,2011/07/22 02:37:00.000,2011/07/22 02:44:00.000,Crear Orden De Compra,Magdalena Predutta,Agente De Compras
949,2011/08/03 10:50:00.000,2011/08/03 11:13:00.000,Confirmar Orden De Compra,Kiu Kan,Proveedor
949,2011/08/11 13:07:00.000,2011/08/13 05:57:00.000,Entrega De Bienes O Servicios,Esmeralda Clay,Proveedor
949,2011/08/13 13:32:00.000,2011/08/13 13:33:00.000,Liberar Orden De Compra,Nico Ojenbeer,Solicitante
949,2011/08/13 23:29:00.000,2011/08/13 23:30:00.000,Approve Purchase Order for payment,Francois de Perrier,Agente De Compras
949,2011/08/20 08:39:00.000,2011/08/20 08:39:00.000,Enviar La Factura,Esmeralda Clay,Proveedor
949,2011/08/20 22:58:00.000,2011/08/20 23:04:00.000,Liberar Factura Del Proveedor,Pedro Alvares,Gerente Financiero
949,2011/08/20 23:41:00.000,2011/08/21 00:09:00.000,Resolver La Disputa Con El Gerente Financiero Del Proveedor,Pedro Alvares,Gerente Financiero
949,2011/08/21 00:09:00.000,2011/08/21 00:09:00.000,Autorizar El Pago De La Factura Del Proveedor,Karalda Nimwada,Gerente Financiero
949,2011/08/21 00:33:00.000,2011/08/21 00:43:00.000,Pagar La Factura,Pedro Alvares,Gerente Financiero
157,2011/01/21 09:59:00.000,2011/01/21 10:12:00.000,Crear solicitud de compra,Fjodor Kowalski,Solicitante
157,2011/01/21 23:43:00.000,2011/01/21 23:50:00.000,Analizar solicitud de compra,Maris Freeman,Gerente Del Solicitante
157,2011/01/21 23:54:00.000,2011/01/21 23:56:00.000,Crear Solicitud De Cotizacion Para El Gerente Del Solicitante,Francis Odell,Gerente Del Solicitante
157,2011/01/23 05:29:00.000,2011/01/23 05:39:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
157,2011/01/23 06:35:00.000,2011/01/23 06:43:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Fjodor Kowalski,Gerente Del Solicitante
157,2011/01/23 11:31:00.000,2011/01/23 12:07:00.000,Analizar La Solicitud De Cotizacion,Karel de Groot,Agente De Compras
156,2011/01/21 08:49:00.000,2011/01/21 09:18:00.000,Crear solicitud de compra,Penn Osterwalder,Solicitante
156,2011/01/22 09:04:00.000,2011/01/22 09:13:00.000,Analizar solicitud de compra,Francis Odell,Gerente Del Solicitante
156,2011/01/22 09:17:00.000,2011/01/22 09:20:00.000,Crear Solicitud De Cotizacion Para El Gerente Del Solicitante,Maris Freeman,Gerente Del Solicitante
156,2011/01/23 06:32:00.000,2011/01/23 06:59:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
156,2011/01/23 07:46:00.000,2011/01/23 07:54:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Penn Osterwalder,Gerente Del Solicitante
156,2011/01/25 01:26:00.000,2011/01/25 02:02:00.000,Analizar La Solicitud De Cotizacion,Karel de Groot,Agente De Compras
156,2011/01/25 02:43:00.000,2011/01/25 02:57:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Alberto Duport,Gerente Del Solicitante
156,2011/01/25 21:07:00.000,2011/01/25 21:34:00.000,Analizar La Solicitud De Cotizacion,Karel de Groot,Agente De Compras
1310,2011/07/07 19:12:00.000,2011/07/07 19:46:00.000,Crear solicitud de compra,Christian Francois,Solicitante
1310,2011/07/08 02:52:00.000,2011/07/08 03:02:00.000,Crear Solicitud De Cotizacion Del Solicitante,Clement Duchot,Solicitante
1310,2011/09/15 03:17:00.000,2011/09/15 03:37:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
1310,2011/09/15 04:28:00.000,2011/09/15 04:40:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Nico Ojenbeer,Gerente Del Solicitante
1310,2011/09/21 01:44:00.000,2011/09/21 02:01:00.000,Analizar La Solicitud De Cotizacion,Magdalena Predutta,Agente De Compras
1310,2011/09/21 11:17:00.000,2011/09/21 11:44:00.000,Enviar Solicitud De Cotizacion Al Proveedor,Karel de Groot,Agente De Compras
1310,2011/09/21 11:58:00.000,2011/09/21 15:42:00.000,Crear El Mapa De Comparacion De Cotizaciones,Karel de Groot,Agente De Compras
1310,2011/09/21 22:35:00.000,2011/09/21 22:46:00.000,Analizar El Mapa De Comparacion De Cotizaciones,Miu Hanwan,Solicitante
1310,2011/09/21 22:46:00.000,2011/09/21 22:46:00.000,Elige La Mejor Opcion,Miu Hanwan,Solicitante
1310,2011/09/22 02:06:00.000,2011/09/22 09:28:00.000,Resolver Condiciones Con El Proveedor,Magdalena Predutta,Agente De Compras
1310,2011/09/22 11:10:00.000,2011/09/22 11:22:00.000,Crear Orden De Compra,Karel de Groot,Agente De Compras
1310,2011/09/25 03:11:00.000,2011/09/25 03:41:00.000,Confirmar Orden De Compra,Sean Manney,Proveedor
1310,2011/10/02 23:07:00.000,2011/10/03 05:55:00.000,Entrega De Bienes O Servicios,Kiu Kan,Proveedor
1310,2011/10/03 13:27:00.000,2011/10/03 13:28:00.000,Liberar Orden De Compra,Anna Kaufmann,Solicitante
1310,2011/10/04 12:51:00.000,2011/10/04 12:52:00.000,Approve Purchase Order for payment,Francois de Perrier,Agente De Compras
1310,2011/10/11 03:46:00.000,2011/10/11 03:46:00.000,Enviar La Factura,Carmen Finacse,Proveedor
1310,2011/10/11 18:12:00.000,2011/10/11 18:17:00.000,Liberar Factura Del Proveedor,Pedro Alvares,Gerente Financiero
1310,2011/10/11 18:37:00.000,2011/10/11 18:37:00.000,Autorizar El Pago De La Factura Del Proveedor,Pedro Alvares,Gerente Financiero
1310,2011/10/11 18:47:00.000,2011/10/11 19:01:00.000,Pagar La Factura,Pedro Alvares,Gerente Financiero
155,2011/01/20 21:08:00.000,2011/01/20 21:48:00.000,Crear solicitud de compra,Anna Kaufmann,Solicitante
155,2011/01/21 02:55:00.000,2011/01/21 03:01:00.000,Crear Solicitud De Cotizacion Del Solicitante,Elvira Lores,Solicitante
155,2011/01/23 06:49:00.000,2011/01/23 07:19:00.000,Analizar La Solicitud De Cotizacion,Magdalena Predutta,Agente De Compras
155,2011/01/23 07:55:00.000,2011/01/23 08:02:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Immanuel Karagianni,Gerente Del Solicitante
155,2011/01/23 20:26:00.000,2011/01/23 20:53:00.000,Analizar La Solicitud De Cotizacion,Karel de Groot,Agente De Compras
155,2011/01/23 21:48:00.000,2011/01/23 21:58:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Christian Francois,Gerente Del Solicitante
155,2011/01/25 00:58:00.000,2011/01/25 01:14:00.000,Analizar La Solicitud De Cotizacion,Karel de Groot,Agente De Compras
155,2011/01/25 17:55:00.000,2011/01/25 18:20:00.000,Enviar Solicitud De Cotizacion Al Proveedor,Karel de Groot,Agente De Compras
155,2011/01/25 18:41:00.000,2011/01/25 20:42:00.000,Crear El Mapa De Comparacion De Cotizaciones,Karel de Groot,Agente De Compras
155,2011/01/26 02:30:00.000,2011/01/26 02:45:00.000,Analizar El Mapa De Comparacion De Cotizaciones,Elvira Lores,Solicitante
155,2011/01/26 02:45:00.000,2011/01/26 02:45:00.000,Elige La Mejor Opcion,Miu Hanwan,Solicitante
155,2011/01/26 06:47:00.000,2011/01/26 16:49:00.000,Resolver Condiciones Con El Proveedor,Karel de Groot,Agente De Compras
155,2011/01/26 23:30:00.000,2011/01/26 23:42:00.000,Crear Orden De Compra,Magdalena Predutta,Agente De Compras
155,2011/01/28 06:54:00.000,2011/01/28 07:27:00.000,Confirmar Orden De Compra,Sean Manney,Proveedor
155,2011/01/29 21:07:00.000,2011/01/31 12:51:00.000,Entrega De Bienes O Servicios,Carmen Finacse,Proveedor
155,2011/01/31 20:14:00.000,2011/01/31 20:15:00.000,Liberar Orden De Compra,Esmana Liubiata,Solicitante
155,2011/02/01 00:57:00.000,2011/02/01 10:32:00.000,Resolver La Disputa Con El Agente De Compras Del Proveedor,Karel de Groot,Agente De Compras
155,2011/02/01 17:53:00.000,2011/02/01 17:54:00.000,Liberar Orden De Compra,Immanuel Karagianni,Solicitante
155,2011/02/02 00:16:00.000,2011/02/02 00:17:00.000,Approve Purchase Order for payment,Magdalena Predutta,Agente De Compras
155,2011/02/02 19:12:00.000,2011/02/02 19:12:00.000,Enviar La Factura,Esmeralda Clay,Proveedor
155,2011/02/03 09:30:00.000,2011/02/03 09:32:00.000,Liberar Factura Del Proveedor,Karalda Nimwada,Gerente Financiero
155,2011/02/03 09:32:00.000,2011/02/03 09:32:00.000,Autorizar El Pago De La Factura Del Proveedor,Karalda Nimwada,Gerente Financiero
155,2011/02/03 10:27:00.000,2011/02/03 10:40:00.000,Pagar La Factura,Pedro Alvares,Gerente Financiero
334,2011/02/16 04:45:00.000,2011/02/16 05:03:00.000,Crear solicitud de compra,Immanuel Karagianni,Solicitante
334,2011/02/16 15:40:00.000,2011/02/16 15:48:00.000,Analizar solicitud de compra,Francis Odell,Gerente Del Solicitante
334,2011/02/16 15:56:00.000,2011/02/16 15:58:00.000,Crear Solicitud De Cotizacion Para El Gerente Del Solicitante,Heinz Gutschmidt,Gerente Del Solicitante
334,2011/02/20 13:09:00.000,2011/02/20 13:36:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
948,2011/05/17 22:06:00.000,2011/05/17 22:18:00.000,Crear solicitud de compra,Clement Duchot,Solicitante
948,2011/05/18 10:44:00.000,2011/05/18 10:51:00.000,Analizar solicitud de compra,Heinz Gutschmidt,Gerente Del Solicitante
154,2011/01/20 10:40:00.000,2011/01/20 11:06:00.000,Crear solicitud de compra,Miu Hanwan,Solicitante
154,2011/01/20 18:36:00.000,2011/01/20 18:46:00.000,Crear Solicitud De Cotizacion Del Solicitante,Tesca Lobes,Solicitante
154,2011/01/23 01:44:00.000,2011/01/23 02:20:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
154,2011/01/23 18:12:00.000,2011/01/23 18:25:00.000,Modificar La Solicitud De Cotizacion Del Gerente Del Solicitante,Maris Freeman,Gerente Del Solicitante
154,2011/01/24 04:36:00.000,2011/01/24 04:47:00.000,Analizar La Solicitud De Cotizacion,Magdalena Predutta,Agente De Compras
154,2011/01/25 12:13:00.000,2011/01/25 12:43:00.000,Enviar Solicitud De Cotizacion Al Proveedor,Magdalena Predutta,Agente De Compras
154,2011/01/25 13:09:00.000,2011/01/25 15:33:00.000,Crear El Mapa De Comparacion De Cotizaciones,Magdalena Predutta,Agente De Compras
154,2011/01/25 22:01:00.000,2011/01/25 22:34:00.000,Analizar El Mapa De Comparacion De Cotizaciones,Esmana Liubiata,Solicitante
154,2011/01/25 22:34:00.000,2011/01/25 22:34:00.000,Elige La Mejor Opcion,Tesca Lobes,Solicitante
154,2011/01/26 01:14:00.000,2011/01/26 13:26:00.000,Resolver Condiciones Con El Proveedor,Francois de Perrier,Agente De Compras
154,2011/01/26 23:19:00.000,2011/01/26 23:30:00.000,Crear Orden De Compra,Magdalena Predutta,Agente De Compras
154,2011/01/28 06:21:00.000,2011/01/28 06:46:00.000,Confirmar Orden De Compra,Esmeralda Clay,Proveedor
154,2011/01/30 22:20:00.000,2011/01/31 20:06:00.000,Entrega De Bienes O Servicios,Karen Clarens,Proveedor
154,2011/02/01 03:18:00.000,2011/02/01 03:19:00.000,Liberar Orden De Compra,Alberto Duport,Solicitante
154,2011/02/01 11:13:00.000,2011/02/01 11:14:00.000,Approve Purchase Order for payment,Karel de Groot,Agente De Compras
154,2011/02/02 13:20:00.000,2011/02/02 13:20:00.000,Enviar La Factura,Esmeralda Clay,Proveedor
154,2011/02/03 03:36:00.000,2011/02/03 03:39:00.000,Liberar Factura Del Proveedor,Pedro Alvares,Gerente Financiero
154,2011/02/03 03:39:00.000,2011/02/03 03:39:00.000,Autorizar El Pago De La Factura Del Proveedor,Pedro Alvares,Gerente Financiero
154,2011/02/03 04:25:00.000,2011/02/03 04:38:00.000,Pagar La Factura,Karalda Nimwada,Gerente Financiero
335,2011/02/16 05:46:00.000,2011/02/16 05:53:00.000,Crear solicitud de compra,Kim Passa,Solicitante
335,2011/02/16 16:55:00.000,2011/02/16 17:01:00.000,Analizar solicitud de compra,Maris Freeman,Gerente Del Solicitante
335,2011/02/16 17:05:00.000,2011/02/16 17:06:00.000,Crear Solicitud De Cotizacion Para El Gerente Del Solicitante,Francis Odell,Gerente Del Solicitante
335,2011/02/20 11:40:00.000,2011/02/20 12:07:00.000,Analizar La Solicitud De Cotizacion,Karel de Groot,Agente De Compras
335,2011/02/20 17:30:00.000,2011/02/20 17:59:00.000,Enviar Solicitud De Cotizacion Al Proveedor,Francois de Perrier,Agente De Compras
335,2011/02/20 18:24:00.000,2011/02/20 23:30:00.000,Crear El Mapa De Comparacion De Cotizaciones,Francois de Perrier,Agente De Compras
335,2011/02/21 06:07:00.000,2011/02/21 06:35:00.000,Analizar El Mapa De Comparacion De Cotizaciones,Immanuel Karagianni,Solicitante
335,2011/02/21 06:35:00.000,2011/02/21 06:35:00.000,Elige La Mejor Opcion,Alberto Duport,Solicitante
335,2011/02/21 09:26:00.000,2011/02/21 23:14:00.000,Resolver Condiciones Con El Proveedor,Karel de Groot,Agente De Compras
335,2011/02/22 09:26:00.000,2011/02/22 09:34:00.000,Crear Orden De Compra,Magdalena Predutta,Agente De Compras
335,2011/02/23 02:48:00.000,2011/02/23 02:53:00.000,Confirmar Orden De Compra,Karen Clarens,Proveedor
335,2011/02/23 21:39:00.000,2011/02/25 17:39:00.000,Entrega De Bienes O Servicios,Esmeralda Clay,Proveedor
335,2011/02/26 01:43:00.000,2011/02/26 01:44:00.000,Liberar Orden De Compra,Miu Hanwan,Solicitante
335,2011/02/28 08:34:00.000,2011/02/28 08:35:00.000,Approve Purchase Order for payment,Francois de Perrier,Agente De Compras
335,2011/02/28 20:12:00.000,2011/02/28 20:12:00.000,Enviar La Factura,Kiu Kan,Proveedor
335,2011/03/01 10:29:00.000,2011/03/01 10:34:00.000,Liberar Factura Del Proveedor,Pedro Alvares,Gerente Financiero
335,2011/03/01 10:34:00.000,2011/03/01 10:34:00.000,Autorizar El Pago De La Factura Del Proveedor,Pedro Alvares,Gerente Financiero
335,2011/03/01 10:54:00.000,2011/03/01 11:09:00.000,Pagar La Factura,Karalda Nimwada,Gerente Financiero
748,2011/04/19 10:49:00.000,2011/04/19 11:02:00.000,Crear solicitud de compra,Kim Passa,Solicitante
748,2011/04/19 15:23:00.000,2011/04/19 15:33:00.000,Crear Solicitud De Cotizacion Del Solicitante,Esmana Liubiata,Solicitante
748,2011/05/13 07:40:00.000,2011/05/13 07:47:00.000,Analizar La Solicitud De Cotizacion,Magdalena Predutta,Agente De Compras
748,2011/05/13 08:36:00.000,2011/05/13 08:42:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Anne Olwada,Gerente Del Solicitante
748,2011/05/22 00:33:00.000,2011/05/22 01:02:00.000,Analizar La Solicitud De Cotizacion,Karel de Groot,Agente De Compras
748,2011/05/22 01:47:00.000,2011/05/22 01:57:00.000,Modificar La Solicitud De Cotizacion Del Solicitante,Tesca Lobes,Gerente Del Solicitante
748,2011/07/03 12:53:00.000,2011/07/03 13:06:00.000,Analizar La Solicitud De Cotizacion,Francois de Perrier,Agente De Compras
748,2011/07/04 03:18:00.000,2011/07/04 03:28:00.000,Enviar Solicitud De Cotizacion Al Proveedor,Francois de Perrier,Agente De Compras
748,2011/07/04 03:59:00.000,2011/07/04 09:56:00.000,Crear El Mapa De Comparacion De Cotizaciones,Magdalena Predutta,Agente De Compras
748,2011/07/04 16:08:00.000,2011/07/04 16:37:00.000,Analizar El Mapa De Comparacion De Cotizaciones,Miu Hanwan,Solicitante
